"1930 FIFA World Cup","1930 FIFA ワールドカップ"
"1934 FIFA World Cup","1934 FIFA ワールドカップ"
"1938 FIFA World Cup","1938 FIFA ワールドカップ"
"1942 FIFA World Cup","1942 FIFA ワールドカップ"
"1946 FIFA World Cup","1946 FIFA ワールドカップ"
"1950 FIFA World Cup","1950 FIFA ワールドカップ"
"1954 FIFA World Cup","1954 FIFA ワールドカップ"
"1958 FIFA World Cup","1958 FIFA ワールドカップ"
"1962 FIFA World Cup","1962 FIFA ワールドカップ"
"1966 FIFA World Cup","1966 FIFA ワールドカップ"
"1970 FIFA World Cup","1970 FIFA ワールドカップ"
"1974 FIFA World Cup","1974 FIFA ワールドカップ"
"1978 FIFA World Cup","1978 FIFA ワールドカップ"
"1982 FIFA World Cup","1982 FIFA ワールドカップ"
"1986 FIFA World Cup","1986 FIFA ワールドカップ"
"1990 FIFA World Cup","1990 FIFA ワールドカップ"
"1994 FIFA World Cup","1994 FIFA ワールドカップ"
"1998 FIFA World Cup","1998 FIFA ワールドカップ"
"2002 FIFA World Cup","2002 FIFA ワールドカップ"
"2006 FIFA World Cup","2006 FIFA ワールドカップ"
"2010 FIFA World Cup","2010 FIFA ワールドカップ"
"2014 FIFA World Cup","2014 FIFA ワールドカップ"
"2018 FIFA World Cup","2018 FIFA ワールドカップ"
"2022 FIFA World Cup","2022 FIFA ワールドカップ"
